route,score,source
0-20-22-24-27-30-29-6-32-33-31-35-37-38-39-36-34-28-26-23-18-19-16-14-12-15-17-13-25-9-11-10-8-21-5-1-0,245.19286800015863,seed708_explore_lns_start9_late_best_rm20_tw15
0-20-22-21-24-29-32-6-33-31-35-37-38-39-36-34-28-26-23-18-19-16-14-12-15-17-13-25-9-11-10-8-5-2-7-3-0,333.00313447481335,seed602_lns_start32_late_best_rm8_tw10
0-20-22-24-27-30-29-6-32-33-31-35-37-38-39-36-34-28-26-23-18-19-16-14-12-15-17-13-25-9-11-10-8-21-1-3-0,339.65146557413016,seed706_explore_lns_start59_mixed_best_rm25_tw10
0-20-22-24-27-30-29-6-32-33-31-35-37-38-39-36-34-28-26-23-18-19-16-14-12-15-17-13-25-9-11-10-8-5-3-21-0,340.1202322829421,seed606_lns_start85_mixed_best_rm5_tw6
0-20-22-24-27-30-29-6-32-33-31-35-37-38-39-36-28-26-23-18-19-16-14-12-15-17-13-25-9-11-10-21-8-5-1-3-0,392.96260407209786,seed710_explore_lns_start9_late_regret_rm20_tw15
0-20-22-29-28-34-37-6-32-33-31-35-38-39-36-4-5-26-23-18-19-16-14-12-15-17-13-25-9-11-10-8-2-7-3-0,575.0043398735802,seed704_explore_lns_start30_late_random_best_rm25_tw15
0-29-67-62-63-61-64-66-69-68-65-49-55-54-53-56-58-60-59-57-40-44-31-45-46-70-48-43-42-41-51-50-52-47-20-0,634.9529075914428,seed703_explore_guarded
0-67-63-62-52-50-64-66-69-68-65-49-55-54-53-56-58-60-59-57-40-44-46-51-45-61-70-43-47-42-41-32-37-31-48-0,676.7308343150537,seed605_lns_start56_late_random_best_rm5_tw6
0-67-62-61-54-59-64-66-69-68-65-49-55-4-53-56-58-60-57-40-44-46-45-70-63-48-43-42-41-47-50-51-52-20-0,698.7884024560233,seed701_explore_guarded
0-21-67-63-62-61-64-66-69-68-65-49-55-54-53-56-58-60-59-57-40-44-52-47-45-70-3-7-42-41-46-50-51-43-48-0,746.7881376906387,seed707_explore_lns_start40_mixed_random_best_rm25_tw12
0-20-22-24-27-30-29-6-32-33-31-35-37-38-39-36-34-28-26-23-18-19-16-14-12-15-17-13-25-9-11-10-8-5-2-1-7-0,756.5188935229744,seed607_lns_start14_random_best_rm4_tw6
0-21-67-62-47-50-51-64-66-69-68-65-49-55-54-53-56-58-60-59-57-40-44-46-45-61-70-63-42-41-43-32-37-31-48-0,779.246340101552,seed704_explore_lns_start56_mixed_best_rm15_tw10
0-21-22-24-27-30-29-6-32-33-31-35-37-38-39-36-34-28-26-23-18-19-16-14-12-15-17-13-25-9-11-10-8-5-2-1-7-0,779.6581818625823,seed602_lns_start45_late_random_best_rm3_tw10_guarded
0-20-22-24-27-30-29-6-32-33-31-35-37-38-39-36-34-28-26-23-18-19-16-14-12-15-17-13-25-9-11-10-8-5-2-7-3-0,781.6542439150056,seed603_lns_start0_random_best_rm5_tw8
0-67-63-62-43-61-64-66-69-68-65-49-55-57-59-53-56-58-60-54-40-44-46-45-51-52-70-47-50-42-41-48-2-1-7-0,783.9486169750426,seed707_explore_lns_start85_late_best_rm20_tw8
0-20-22-24-27-30-29-6-32-33-31-35-37-38-39-36-34-28-26-23-18-19-16-14-12-15-17-13-25-9-11-10-8-21-5-2-1-0,787.2308587672564,seed601_lns_start14_mixed_random_best_rm8_tw8_guarded
0-20-22-24-27-30-29-6-32-33-31-35-37-38-39-36-34-28-26-23-18-19-16-14-12-15-17-13-25-9-11-10-8-2-5-21-48-0,792.1346161837306,seed706_explore_lns_start41_late_regret_rm15_tw8
0-20-22-21-27-30-29-6-32-33-31-35-37-38-39-36-34-28-26-23-18-19-16-14-12-15-17-13-25-9-11-10-8-5-2-1-7-0,799.2218006445909,seed607_lns_start14_random_random_best_rm8_tw6
0-20-22-24-27-30-29-6-32-33-31-35-37-38-39-36-34-28-26-23-18-19-16-14-12-15-17-13-25-9-11-10-8-2-1-7-3-0,802.750218558565,seed703_explore_lns_start75_mixed_random_best_rm25_tw6
0-20-22-24-27-30-29-6-32-33-31-35-37-38-39-36-34-28-26-23-18-19-16-14-12-15-17-13-25-9-11-10-8-5-1-7-3-0,803.5042777485513,seed705_explore_lns_start9_mixed_random_best_rm25_tw6
0-20-22-24-27-30-29-6-32-33-31-35-37-38-39-36-34-28-26-23-18-19-16-14-12-15-17-13-25-9-11-10-8-5-2-1-3-0,803.6421079328134,seed701_explore_lns_start15_mixed_regret_rm15_tw6
0-21-22-20-24-30-29-6-32-33-31-35-37-38-39-36-34-28-26-23-18-19-16-14-12-15-17-13-25-9-11-10-8-5-2-1-7-0,809.2183128075592,seed703_explore_lns_start13_random_random_best_rm20_tw8
0-20-22-24-27-30-29-6-32-33-31-35-37-38-39-36-34-28-26-23-18-19-16-14-12-15-17-13-25-9-11-10-8-21-5-2-7-0,811.1909807443822,seed707_explore_lns_start44_late_best_rm25_tw8
0-21-22-24-27-30-29-6-32-33-31-35-37-38-39-36-34-28-26-23-18-19-16-14-12-15-17-13-25-9-11-10-8-2-1-7-3-0,825.889506898173,seed607_lns_start16_late_random_best_rm8_tw12_guarded
0-21-67-62-63-61-64-66-69-68-65-49-55-59-60-53-56-58-54-57-40-44-46-50-45-47-70-51-42-41-43-52-48-5-1-0,826.3874833311053,seed701_explore_lns_start31_random_random_best_rm25_tw12
0-21-22-24-27-30-29-6-32-33-31-35-37-38-39-36-34-28-26-23-18-19-16-14-12-15-17-13-25-9-11-10-8-5-1-7-3-0,826.6435660881592,seed701_explore_guarded
0-20-22-24-27-21-29-6-32-33-31-35-37-38-39-36-34-28-26-23-18-19-16-14-12-15-17-13-25-9-11-10-8-5-2-1-7-0,831.8700054678375,seed705_explore_lns_start38_late_best_rm25_tw6
0-20-22-24-27-30-29-6-32-33-31-35-37-38-39-36-34-28-26-23-18-19-16-14-12-15-17-13-25-9-11-10-8-21-2-1-7-0,837.4429091730872,seed705_explore_lns_start56_mixed_best_rm20_tw10
0-20-22-24-27-30-29-6-32-33-31-35-37-38-39-36-34-28-26-23-18-19-16-14-12-15-17-13-25-9-11-10-8-21-5-1-7-0,837.7227449371577,seed701_explore_lns_start58_mixed_regret_rm15_tw8
0-20-22-21-27-30-29-6-32-33-31-35-37-38-39-36-34-28-26-23-18-19-16-14-12-15-17-13-25-9-11-10-8-5-2-1-3-0,846.34501505443,seed706_explore_lns_start70_random_regret_rm15_tw6
0-21-20-24-27-30-29-6-32-33-31-35-37-38-39-36-34-28-26-23-18-19-16-14-12-15-17-13-25-9-11-10-8-5-2-1-3-0,847.2375856591758,seed702_explore_lns_start51_late_random_best_rm15_tw10
0-67-63-62-30-48-64-66-69-68-65-49-55-4-53-56-58-60-54-57-40-44-45-61-70-59-46-42-41-51-50-52-47-43-0,852.5078648023504,seed710_explore_guarded
0-20-22-24-27-30-29-6-32-33-31-35-37-38-39-36-34-28-26-23-18-19-16-14-12-15-17-13-25-9-11-10-8-21-5-2-3-0,859.5583209192159,seed708_explore_lns_start50_late_random_best_rm20_tw12
0-20-22-24-27-30-29-6-32-33-31-35-37-38-39-36-34-28-26-23-18-19-16-14-12-15-17-13-25-9-11-10-8-21-5-7-3-0,860.1463190751028,seed701_explore_lns_start46_late_best_rm25_tw10
0-20-22-24-27-30-29-6-32-33-31-35-37-38-39-36-34-28-26-23-18-19-16-14-12-15-17-13-25-9-11-10-8-2-5-21-43-0,862.7936035414384,seed705_explore_lns_start81_late_regret_rm20_tw8
0-67-63-62-47-52-64-66-69-68-65-49-55-54-53-56-58-60-59-57-40-44-46-45-61-70-43-31-42-41-34-32-51-50-48-0,862.9768653483204,seed707_explore_lns_start34_late_regret_rm15_tw12
0-48-20-24-27-30-29-6-32-33-31-35-37-38-39-36-34-28-26-23-18-19-16-14-12-15-17-13-25-9-11-10-8-21-5-2-1-0,864.218643793502,seed710_explore_lns_start17_late_regret_rm25_tw15
