route,score,source
0-83-18-6-94-96-99-85-98-37-59-97-13-0,85.32182778997878,seed701_explore_lns_start19_mixed_best_rm25_tw6
0-2-73-21-40-53-27-50-3-77-68-80-0,106.2231993369864,seed601_lns_start85_random_best_rm3_tw10
0-45-18-6-94-96-99-93-59-92-97-100-13-0,107.79091036835159,seed701_explore_lns_start4_late_best_rm25_tw15
0-59-98-85-87-99-18-6-94-37-97-13-0,108.77978753354029,seed701_explore_lns_start17_late_random_best_rm15_tw15
0-2-73-21-40-53-50-81-3-77-68-80-0,113.36310771585624,seed602_lns_start83_mixed_random_best_rm8_tw10
0-95-59-99-92-87-2-53-94-6-96-97-13-58-0,115.17139851019746,seed701_explore_lns_start29_random_random_best_rm25_tw10
0-2-73-21-72-4-25-24-29-68-80-54-0,117.05952333263143,seed701_explore_lns_start14_late_random_best_rm20_tw15
0-5-83-18-6-94-96-99-93-59-92-100-97-58-0,117.31268609828979,seed701_explore_lns_start2_late_regret_rm20_tw12
0-2-73-21-40-53-27-76-50-3-77-68-80-0,128.43625179044034,seed604_lns_start86_random_regret_rm8_tw6
0-12-76-79-29-24-55-25-67-39-54-0,129.2311823077323,seed701_explore_lns_start82_random_best_rm15_tw6
0-21-73-40-53-27-50-81-79-3-77-68-80-0,130.9524648886127,seed701_explore_lns_start85_mixed_best_rm20_tw12
0-59-98-85-99-18-6-94-87-97-37-60-89-0,132.25423943607456,seed701_explore_lns_start16_late_regret_rm10_tw12
0-12-76-24-29-34-78-81-79-3-77-68-80-0,135.95357543917618,seed701_explore_lns_start38_mixed_best_rm20_tw6
0-59-98-85-99-18-6-94-87-97-37-91-89-0,137.28757993581496,seed701_explore_lns_start19_late_regret_rm10_tw8
0-59-92-99-6-53-94-95-96-37-100-97-13-89-0,141.75359155162374,seed701_explore_lns_start28_late_best_rm25_tw10
0-52-19-62-30-51-9-81-33-3-77-68-0,143.03938648968932,seed701_explore_lns_start29_mixed_best_rm25_tw6
0-95-92-59-99-6-94-53-87-42-97-96-13-58-0,150.35776556843942,seed701_explore_lns_start29_mixed_best_rm25_tw6
0-52-83-8-45-17-86-44-93-59-97-96-89-0,151.85604103517116,seed603_lns_start79_mixed_best_rm8_tw6_guarded
