route,score,source
0-65-50-33-28-26-27-29-31-62-23-64-67-30-32-34-63-51-49-22-20-56-66-12-14-47-17-16-13-59-58-25-21-48-18-19-24-57-0,482.3173935905471,seed602_lns_start62_random_regret_rm8_tw15_guarded
0-65-50-34-31-29-28-26-27-33-62-23-64-67-30-32-63-51-49-20-22-56-66-12-47-17-13-59-58-25-21-48-18-19-24-57-52-0,485.45174132538807,seed606_lns_start62_late_best_rm6_tw10_guarded
0-65-50-34-31-29-28-26-27-33-62-23-64-67-30-32-63-51-49-22-20-56-66-52-47-17-16-13-59-58-25-21-48-18-19-24-57-0,485.9502121419314,seed703_explore_guarded
0-65-50-34-31-29-28-26-27-33-62-23-64-67-30-32-63-51-49-22-24-56-66-57-52-17-13-59-58-25-21-48-18-19-20-0,486.34587035647996,seed705_explore_lns_start25_random_random_best_rm25_tw15
0-65-50-33-28-26-27-29-31-62-23-64-67-30-32-34-63-51-49-22-20-56-66-12-14-47-17-13-59-58-25-21-48-18-19-24-57-52-0,486.57190944237357,seed701_explore_guarded
0-65-50-34-31-29-28-26-27-33-62-23-64-67-30-32-63-51-20-22-49-19-21-48-18-56-66-14-47-17-13-59-58-25-24-57-0,488.76904329387827,seed602_lns_start62_late_regret_rm6_tw8_guarded
0-65-50-33-31-28-26-27-29-34-62-23-64-67-30-32-63-51-49-22-20-56-66-14-47-17-16-13-59-58-25-21-48-18-19-24-57-52-0,489.4069941225677,seed702_explore_guarded
0-65-50-33-28-26-27-29-31-62-23-64-67-30-32-34-63-51-49-22-24-56-66-57-52-12-14-47-17-16-13-59-58-25-21-48-18-19-20-0,490.0880442921106,seed704_explore_guarded
0-54-36-39-42-1-45-60-14-15-11-69-44-43-40-38-41-46-8-6-53-12-55-10-13-16-47-17-7-4-5-3-2-70-61-0,492.0107924867994,seed701_explore_lns_start7_random_best_rm25_tw12
0-65-50-34-31-29-28-26-27-33-62-23-64-67-30-32-63-51-20-22-49-19-21-48-18-56-66-14-17-13-59-58-25-24-57-52-0,493.9142870700712,seed605_lns_start62_late_regret_rm6_tw12_guarded
0-42-36-31-29-27-26-28-33-34-50-62-67-54-44-40-38-41-46-8-6-53-10-60-7-5-3-1-4-2-55-68-61-37-35-43-70-0,493.97611452997063,seed705_explore_guarded
0-65-33-26-27-31-34-50-62-64-23-32-30-28-29-63-20-22-24-21-48-18-19-49-51-56-66-52-14-47-17-16-13-59-58-25-57-0,494.7878690538313,seed704_explore_lns_start20_random_regret_rm20_tw15
0-65-50-33-28-26-27-29-34-62-64-23-67-30-32-31-63-51-20-22-49-19-21-48-18-56-66-17-13-59-58-25-24-57-0,495.1757422940522,seed704_explore_lns_start62_random_best_rm20_tw8
0-65-33-34-31-29-27-50-62-23-64-67-32-30-28-26-63-51-49-22-20-56-66-14-47-17-13-59-58-25-21-48-18-19-24-57-52-0,495.7029515910077,seed603_lns_start62_random_regret_rm4_tw6_guarded
0-65-33-34-31-29-27-50-62-23-64-67-32-30-28-26-63-51-49-22-20-56-66-12-14-17-13-59-58-25-21-48-18-19-24-57-52-0,495.7806274545355,seed601_lns_start23_late_best_rm6_tw6_guarded
0-65-50-33-28-26-29-27-31-34-62-23-64-67-30-32-63-51-20-22-24-21-48-18-19-49-56-66-12-47-17-16-13-59-58-25-57-52-0,496.7882583361158,seed607_lns_start13_random_regret_rm5_tw8_guarded
0-65-50-33-31-28-26-27-29-34-62-23-64-67-30-32-63-51-20-22-49-19-21-48-18-56-66-52-17-16-13-59-58-25-24-57-0,497.75727206720956,seed705_explore_guarded
0-54-42-39-36-43-45-60-12-15-11-69-44-40-38-41-6-8-7-53-14-10-52-59-13-16-47-17-4-46-5-3-1-2-70-61-0,499.69955190027537,seed602_lns_start42_mixed_random_best_rm8_tw10
0-65-33-32-31-29-27-34-50-62-23-64-67-30-28-26-63-51-20-22-21-48-18-19-49-56-66-52-47-17-13-59-58-25-24-57-0,501.88420997224523,seed704_explore_guarded
0-65-33-32-26-27-29-50-62-23-64-67-30-28-31-34-63-51-22-21-48-18-19-49-20-56-66-12-17-16-13-59-58-25-24-57-52-0,503.7061217840192,seed608_lns_start61_random_regret_rm8_tw15
0-65-7-45-5-3-2-15-11-69-64-20-23-21-48-18-9-52-57-22-49-24-51-63-56-66-12-14-47-17-16-13-59-58-25-19-0,504.9042280790484,seed701_explore_lns_start52_late_best_rm25_tw12
0-65-7-5-45-2-12-15-11-69-64-20-23-21-48-18-19-24-9-52-57-22-49-51-63-56-66-13-16-14-47-17-59-58-25-0,505.67574477449614,seed703_explore_lns_start51_late_best_rm25_tw8
0-65-50-33-32-34-31-29-27-26-28-62-64-23-48-30-63-18-19-49-20-22-24-51-56-66-55-14-47-17-13-59-58-25-21-57-52-0,509.9710491137393,seed703_explore_lns_start20_random_random_best_rm25_tw6
0-65-7-46-5-45-2-60-15-11-69-64-24-23-9-52-57-22-20-49-51-63-56-66-12-14-47-16-13-17-59-58-25-21-48-18-19-0,513.474018037217,seed703_explore_lns_start57_late_random_best_rm20_tw8
0-65-34-33-32-28-26-27-29-31-62-23-64-67-30-50-63-20-22-21-48-18-19-49-51-56-66-57-17-16-13-59-58-25-24-0,513.4859856221659,seed705_explore_lns_start13_mixed_best_rm25_tw6
