route,score,source
0-20-24-25-27-29-30-28-26-23-22-21-0,50.80359030264955,seed601_lns_start0_mixed_best_rm6_tw12_guarded
0-67-65-63-62-74-72-61-64-68-66-69-0,59.403108723710105,seed601_lns_start3_random_random_best_rm4_tw6
0-5-3-7-8-10-11-9-6-4-2-1-75-0,59.618077542105574,seed601_lns_start3_random_random_best_rm4_tw6
0-43-42-41-40-44-46-45-48-51-50-49-47-0,62.25074811227676,seed601_lns_start2_random_regret_rm8_tw6
0-43-42-41-40-44-46-45-48-51-50-52-49-47-0,64.80747449698114,seed601_lns_start3_random_random_best_rm4_tw6
0-20-25-27-32-29-30-28-26-23-21-0,76.02269674646915,seed601_lns_start3_random_random_best_rm4_tw6_guarded
0-90-87-86-83-82-84-85-88-89-91-0,76.06956532288787,seed601_lns_start3_random_random_best_rm4_tw6
0-25-27-29-32-30-28-26-23-22-21-0,76.10622825412202,seed608_lns_start2_random_regret_rm3_tw8_guarded
0-20-25-24-32-29-30-28-26-23-21-0,76.35864711083497,seed607_lns_start0_random_regret_rm6_tw6
0-20-25-27-32-29-30-28-26-23-22-21-0,77.41714547100516,seed601_lns_start2_random_regret_rm8_tw6
0-20-25-24-32-29-30-28-26-23-22-21-0,77.75309583537097,seed601_lns_start3_random_random_best_rm4_tw6
0-24-25-27-32-29-30-28-26-23-22-21-0,79.03198066387066,seed602_lns_start1_random_random_best_rm4_tw8
0-20-24-25-27-30-29-34-28-26-23-22-21-0,79.46843609162481,seed604_lns_start2_random_random_best_rm8_tw12
0-20-24-25-27-29-36-30-28-26-23-22-21-0,79.6427349808114,seed602_lns_start3_mixed_random_best_rm8_tw15
0-20-25-24-32-27-29-30-28-26-23-21-0,83.51386877552214,seed601_lns_start2_random_best_rm8_tw6
0-20-25-24-32-27-29-30-28-26-23-22-21-0,84.90831750005815,seed601_lns_start0_mixed_best_rm6_tw12
0-13-17-18-19-15-16-14-12-0,95.88470913081827,seed601_lns_start3_random_random_best_rm4_tw6
0-98-96-95-94-92-93-97-100-99-0,95.94313062205805,seed601_lns_start3_random_random_best_rm4_tw6
0-33-31-35-37-38-39-36-34-0,97.1304954118635,seed601_lns_start0_mixed_best_rm6_tw12
0-32-33-31-35-37-38-39-36-34-0,97.2271627850669,seed601_lns_start0_mixed_best_rm6_tw12_guarded
0-33-31-35-37-38-39-36-34-22-0,98.09737109147375,seed601_lns_start2_random_best_rm8_tw6
0-20-24-33-31-35-37-38-39-36-34-0,98.32746910669911,seed608_lns_start2_random_regret_rm3_tw8_guarded
0-24-33-31-35-37-38-39-36-34-22-0,99.29434478630935,seed601_lns_start3_random_random_best_rm4_tw6_guarded
0-27-33-31-35-37-38-39-36-34-0,99.93100166430531,seed601_lns_start3_random_random_best_rm4_tw6
0-27-33-31-35-37-38-39-36-34-22-0,100.89787734391555,seed607_lns_start0_random_regret_rm6_tw6
0-57-55-54-53-56-58-60-59-0,101.88256760196126,seed601_lns_start3_random_random_best_rm4_tw6
0-32-33-31-35-37-38-39-36-52-0,105.41277651425793,seed604_lns_start2_random_random_best_rm8_tw12
0-33-31-35-37-38-39-36-34-52-0,105.67851228937266,seed601_lns_start0_mixed_random_best_rm4_tw15
0-32-33-31-35-37-38-39-34-52-0,105.77517966257605,seed602_lns_start3_mixed_random_best_rm8_tw15
0-20-33-31-35-37-38-39-36-34-52-0,106.31849500808138,seed602_lns_start1_random_random_best_rm4_tw8
0-24-33-31-35-37-38-39-36-34-52-0,106.87548598420827,seed601_lns_start2_random_regret_rm8_tw6
0-27-33-31-35-37-38-39-36-34-52-0,108.47901854181447,seed601_lns_start0_random_regret_rm6_tw8
0-81-78-76-71-70-73-77-79-80-0,127.29748041459519,seed601_lns_start3_random_random_best_rm4_tw6
