route,score,source
0-67-63-62-2-1-61-64-66-69-68-65-49-55-54-53-56-58-60-59-57-40-44-46-45-51-50-52-47-43-42-41-48-70-0,4448.372642629658,seed601_lns_start0_random_best_rm4_tw10
0-67-63-62-2-1-61-64-66-69-68-65-49-55-54-53-56-58-60-59-57-40-44-46-45-51-50-52-47-43-42-41-48-21-70-0,5179.148492102783,seed601_lns_start2_random_best_rm5_tw12
0-63-5-2-1-62-61-64-66-69-68-65-49-55-54-53-56-58-60-59-57-40-44-46-45-51-50-52-47-43-42-41-48-70-0,5612.8565990829875,seed601_lns_start3_mixed_random_best_rm6_tw15
0-67-5-2-1-62-61-64-66-69-68-65-49-55-54-53-56-58-60-59-57-40-44-46-45-51-50-52-47-43-42-41-48-21-70-0,6128.09168363014,seed601_lns_start12_mixed_regret_rm6_tw8
0-67-63-62-2-1-61-64-66-69-68-65-49-55-54-53-56-58-60-59-57-40-44-46-45-51-50-52-47-43-42-41-48-10-70-0,6323.211402712088,seed601_lns_start14_mixed_random_best_rm6_tw6
0-67-5-2-1-62-61-64-66-69-68-65-49-55-54-53-56-58-60-59-57-40-44-46-45-51-50-52-47-43-42-41-48-8-70-0,6533.104596836463,seed601_lns_start8_random_regret_rm6_tw15
0-63-5-2-1-62-61-64-66-69-68-65-49-55-54-53-56-58-60-59-57-40-44-46-45-51-50-52-47-43-42-41-48-8-70-0,6829.92829964113,seed601_lns_start6_random_random_best_rm8_tw15
0-63-5-2-1-62-61-64-66-69-68-65-49-55-54-53-56-58-60-59-57-40-44-46-45-51-50-52-47-43-42-41-48-13-70-0,10075.124231845735,seed601_lns_start7_mixed_random_best_rm8_tw12
0-67-20-22-24-27-30-29-6-32-33-31-35-37-38-39-36-34-28-26-23-18-19-16-14-12-15-17-13-25-9-11-10-8-21-70-0,11702.43498518985,seed601_lns_start6_mixed_regret_rm6_tw15_guarded
0-5-20-22-24-27-30-29-6-32-33-31-35-37-38-39-36-34-28-26-23-18-19-16-14-12-15-17-13-25-9-11-10-8-21-47-0,12798.689090991285,seed601_lns_start32_late_best_rm5_tw15
0-5-20-22-24-27-30-29-6-32-33-31-35-37-38-39-36-34-28-26-23-18-19-16-14-12-15-17-13-25-9-11-10-8-21-70-0,14136.234831616806,seed601_lns_start32_late_regret_rm8_tw15
