route,score,source
0-28-12-40-53-21-56-4-54-26-58-0,1266.8507808943484,seed603_lns_start1_mixed_random_best_rm8_tw15
0-63-62-11-19-49-64-32-10-70-1-0,1390.7284687847628,seed605_lns_start73_random_random_best_rm8_tw6_guarded
0-33-12-28-53-40-21-56-4-26-58-0,1411.0776592019968,seed601_lns_start1_random_best_rm4_tw6
0-27-28-12-29-3-50-68-54-4-56-58-0,1443.4443095400582,seed605_lns_start65_random_random_best_rm8_tw15
0-33-12-28-53-40-21-4-26-58-1-0,1456.0408510415725,seed602_lns_start1_random_regret_rm8_tw15
0-63-62-31-7-18-8-46-48-60-17-0,1469.3966176210783,seed602_lns_start47_random_random_best_rm4_tw15
0-63-62-7-52-18-8-46-48-60-17-0,1555.2904831525373,seed602_lns_start47_mixed_random_best_rm8_tw6
0-27-69-31-30-51-9-20-66-32-70-1-0,1584.954033160651,seed604_lns_start85_mixed_best_rm4_tw8
0-27-31-30-51-9-20-66-32-70-1-26-0,1591.463931573279,seed605_lns_start85_random_random_best_rm8_tw12
0-33-12-28-53-40-21-4-55-25-26-58-0,1676.5035747871311,seed601_lns_start1_random_random_best_rm6_tw12
0-59-14-44-38-16-61-37-13-6-60-17-0,1688.9213501414797,seed605_lns_start85_mixed_best_rm8_tw12
0-27-69-28-12-3-29-68-54-55-25-4-0,1761.5892042378132,seed605_lns_start46_random_regret_rm3_tw8
0-27-69-28-12-3-29-68-54-4-56-58-0,1772.0831764578268,seed606_lns_start67_mixed_best_rm6_tw12
0-33-29-12-53-40-26-21-4-56-58-0,1777.2812416049696,seed602_lns_start0_random_regret_rm8_tw6
0-33-65-9-51-30-20-66-35-24-0,1784.1510996563147,seed603_lns_start46_mixed_best_rm8_tw12
0-45-5-61-16-44-38-43-37-6-13-0,1793.616797308362,seed602_lns_start0_random_random_best_rm5_tw10
0-33-12-28-53-40-21-4-55-54-26-58-0,1827.0703391131754,seed603_lns_start1_random_random_best_rm8_tw15
0-33-12-28-53-40-21-4-54-24-26-58-0,1882.1996469428748,seed601_lns_start0_mixed_random_best_rm4_tw15_guarded
0-33-12-28-53-40-21-56-4-54-26-58-0,1883.1370603329858,seed601_lns_start1_random_random_best_rm6_tw12_guarded
0-39-23-67-22-56-4-25-55-54-24-68-0,1905.1181756404567,seed602_lns_start20_random_regret_rm5_tw10
0-33-12-28-53-40-21-56-4-26-58-1-0,1924.155302998534,seed606_lns_start2_mixed_regret_rm8_tw15
0-27-69-30-51-9-20-66-32-70-1-64-0,1925.709559126102,seed601_lns_start86_random_regret_rm8_tw12
0-59-5-14-38-44-16-61-37-13-6-60-0,1939.7472359898097,seed605_lns_start85_random_random_best_rm8_tw12
0-63-62-11-19-49-64-32-10-48-46-0,1941.900787648765,seed606_lns_start67_random_random_best_rm5_tw12
0-27-69-12-29-3-68-54-55-25-4-34-0,1954.3018108788553,seed607_lns_start46_random_best_rm6_tw8
0-65-30-51-9-35-34-3-50-1-58-0,2001.5789750931267,seed606_lns_start2_mixed_regret_rm6_tw8_guarded
0-33-12-28-53-40-21-56-4-26-58-17-0,2017.3761318083684,seed606_lns_start2_mixed_random_best_rm8_tw15
0-27-69-52-18-7-8-46-48-64-32-0,2030.4175101657884,seed606_lns_start1_random_best_rm8_tw12_guarded
0-45-5-16-61-6-18-8-48-46-17-60-0,2030.761553284769,seed602_lns_start20_random_regret_rm5_tw10
0-33-12-28-53-40-21-56-4-26-58-24-0,2034.7144949532944,seed606_lns_start0_random_random_best_rm5_tw12
0-33-29-12-28-53-40-21-4-26-58-0,2060.423597947286,seed601_lns_start1_mixed_best_rm8_tw10
0-59-42-2-21-40-53-26-13-6-37-58-22-0,2070.1044283727088,seed601_lns_start46_random_regret_rm8_tw12
0-59-42-15-2-21-40-26-53-13-6-37-58-0,2098.943892404008,seed601_lns_start46_random_best_rm5_tw6
0-59-42-15-2-21-40-26-53-13-37-43-58-0,2123.4122127810497,seed604_lns_start46_random_best_rm4_tw12
0-59-28-12-53-40-21-26-4-56-67-58-0,2130.55584173681,seed607_lns_start0_random_random_best_rm6_tw10
0-63-62-31-52-18-10-50-58-60-25-0,2171.5439882370106,seed601_lns_start86_random_regret_rm8_tw12
0-27-30-51-9-34-3-50-1-68-24-35-0,2179.8371245503918,seed602_lns_start2_random_random_best_rm8_tw15
