route,score,source
0-6-61-16-44-38-14-43-42-37-59-0,108.60745545121776,seed604_lns_start29_late_regret_rm8_tw8
0-2-57-15-41-22-56-39-4-54-12-26-0,108.88991652908365,seed601_lns_start23_mixed_best_rm8_tw6
0-6-59-37-14-44-38-43-42-13-58-40-0,113.03858054853133,seed601_lns_start6_random_regret_rm4_tw12
0-59-37-16-44-38-14-43-42-13-58-40-0,115.39691574213491,seed601_lns_start23_late_regret_rm8_tw10
0-52-31-62-48-46-8-45-17-5-60-18-0,115.5078660610639,seed603_lns_start8_random_best_rm8_tw12
0-6-59-37-44-38-14-43-42-13-58-26-0,116.44350783806918,seed606_lns_start6_mixed_random_best_rm6_tw10
0-42-15-43-38-14-37-59-13-58-40-0,117.03090077297995,seed602_lns_start78_late_random_best_rm8_tw10
0-6-59-37-44-38-14-43-42-13-40-26-0,117.58295531784033,seed604_lns_start6_random_best_rm5_tw12
0-27-1-69-70-30-51-9-66-20-32-10-0,120.62169358083284,seed602_lns_start45_late_best_rm8_tw15
0-28-12-68-3-34-29-24-55-25-56-0,122.48901827579442,seed602_lns_start32_mixed_best_rm8_tw12
0-27-1-69-70-30-51-9-33-29-24-68-12-0,124.53338405515206,seed602_lns_start1_random_random_best_rm8_tw12
0-52-48-47-36-46-8-45-17-16-61-5-0,125.43459422866141,seed601_lns_start7_random_random_best_rm5_tw15
0-52-31-62-11-63-64-49-47-19-7-0,126.27807954987502,seed602_lns_start45_random_random_best_rm5_tw10
0-26-21-56-23-67-39-55-4-25-54-0,126.46451428945986,seed606_lns_start50_random_regret_rm6_tw8
0-6-59-37-44-38-14-43-42-40-58-26-0,130.38886666241004,seed601_lns_start6_random_random_best_rm5_tw8
0-6-59-37-16-44-38-14-42-13-58-40-26-0,133.04058046358932,seed601_lns_start7_random_best_rm8_tw10
0-70-30-69-28-26-53-59-37-13-58-40-0,136.9005616145816,seed606_lns_start9_mixed_best_rm8_tw6
0-6-60-5-61-17-45-8-46-47-48-7-18-0,138.56104200838098,seed604_lns_start22_mixed_random_best_rm6_tw6
0-27-1-69-62-11-19-70-30-20-51-50-0,141.85149125947703,seed601_lns_start50_mixed_regret_rm8_tw6
0-27-52-47-36-46-8-45-17-16-61-5-0,142.13857228487566,seed606_lns_start5_random_best_rm6_tw15
0-27-52-48-36-46-8-45-17-16-61-5-0,142.29400117482993,seed607_lns_start5_random_best_rm6_tw8
0-2-56-23-67-39-55-4-25-54-26-0,142.4109955918844,seed603_lns_start50_mixed_regret_rm8_tw10
0-40-21-56-23-67-39-55-4-25-54-26-0,152.59601713444286,seed602_lns_start45_random_best_rm8_tw6
0-27-1-69-62-11-32-20-30-70-33-50-0,155.31131012319523,seed603_lns_start50_mixed_regret_rm8_tw10
0-5-61-17-45-46-36-49-47-48-52-27-0,155.5327406762113,seed601_lns_start5_mixed_best_rm8_tw12
0-43-15-41-22-56-39-4-55-25-54-0,160.07006158436974,seed602_lns_start4_random_regret_rm8_tw10
0-27-1-69-70-30-20-51-9-33-29-68-12-0,162.09408092804568,seed602_lns_start2_random_regret_rm8_tw8
0-28-50-33-35-34-29-24-68-3-12-58-0,162.88040483067252,seed602_lns_start45_late_regret_rm4_tw10
0-27-1-69-62-11-32-70-30-20-51-33-0,164.572718792821,seed606_lns_start50_mixed_regret_rm4_tw12
