route,score,source
0-14-47-12-11-15-16-9-10-13-17-0,270.2990376577144,seed601_lns_start0_late_random_best_rm3_tw8
0-42-39-36-38-44-61-68-55-70-0,348.47610148079895,seed601_lns_start0_random_best_rm5_tw12
0-59-23-21-18-19-49-20-24-25-48-0,452.17670780567096,seed604_lns_start0_mixed_regret_rm6_tw15
0-42-39-36-38-40-44-41-37-35-43-0,462.1432047426407,seed608_lns_start33_random_best_rm8_tw6
0-42-39-36-38-44-61-68-55-60-70-0,482.91005666007675,seed601_lns_start0_late_random_best_rm3_tw8
0-42-39-36-40-44-61-68-55-60-70-0,531.2172100433679,seed601_lns_start0_random_random_best_rm5_tw12_guarded
0-59-23-21-18-19-49-20-24-25-58-0,543.6108878443513,seed604_lns_start0_mixed_regret_rm8_tw12
0-42-39-36-38-44-61-54-68-55-70-0,548.6374516498103,seed601_lns_start0_mixed_random_best_rm8_tw15
0-59-23-21-18-19-49-20-48-25-58-0,576.8869032285143,seed607_lns_start0_random_best_rm5_tw6
0-63-62-67-41-38-37-35-43-0,588.432647897213,seed601_lns_start0_random_best_rm8_tw10_guarded
0-42-39-36-40-44-61-54-68-55-70-0,609.5914208512445,seed601_lns_start0_mixed_random_best_rm8_tw15_guarded
0-59-23-21-18-19-49-20-24-48-58-0,613.805914365837,seed603_lns_start0_late_best_rm8_tw10
0-45-5-2-7-6-8-46-3-1-4-13-0,616.2346554673627,seed608_lns_start33_random_best_rm8_tw6
0-42-39-36-38-44-61-68-55-70-1-0,623.8614009624623,seed601_lns_start0_late_best_rm6_tw8
0-42-39-36-38-44-61-54-68-70-60-0,641.6789459615048,seed603_lns_start0_late_regret_rm6_tw12
0-42-39-36-40-44-61-68-55-70-1-0,659.5217385276104,seed601_lns_start0_late_best_rm6_tw8_guarded
0-63-62-67-41-40-37-35-43-0,661.253505262814,seed601_lns_start0_random_random_best_rm5_tw12
0-59-23-21-18-19-49-48-24-25-58-0,683.6251728298482,seed601_lns_start0_mixed_regret_rm8_tw10
0-63-62-67-41-38-37-35-43-70-0,690.9535195739402,seed605_lns_start0_late_regret_rm6_tw12_guarded
0-42-39-36-38-44-61-54-68-70-1-0,691.3857379077151,seed602_lns_start0_late_regret_rm6_tw15
0-42-39-36-38-44-61-68-6-70-0,716.7340667531402,seed604_lns_start0_late_random_best_rm5_tw6
0-42-39-36-38-44-61-55-6-70-0,733.9283775216616,seed604_lns_start0_random_random_best_rm4_tw12
0-45-5-2-7-8-46-3-1-4-60-53-0,741.5702677388746,seed601_lns_start0_random_regret_rm4_tw10
0-42-39-36-44-61-68-55-6-70-0,745.0624287634969,seed601_lns_start0_random_random_best_rm6_tw10
0-63-62-67-41-37-35-43-70-55-0,750.3532813339748,seed605_lns_start0_random_regret_rm8_tw10
0-45-5-2-7-8-46-3-4-60-53-70-0,766.8345088234971,seed604_lns_start0_late_best_rm6_tw12
0-45-5-2-7-8-46-3-1-4-70-53-0,770.516674013883,seed608_lns_start0_random_regret_rm8_tw8
0-45-5-2-7-6-8-46-3-4-60-53-0,773.4641414365012,seed601_lns_start0_mixed_random_best_rm8_tw15_guarded
0-39-42-44-36-38-41-68-55-6-70-0,775.257876122877,seed605_lns_start0_random_random_best_rm6_tw12
0-45-5-2-7-6-8-46-3-1-4-53-0,782.1166356203632,seed601_lns_start0_late_random_best_rm3_tw8_guarded
0-59-23-21-18-19-49-20-24-48-25-58-0,784.9811580608125,seed601_lns_start0_late_random_best_rm3_tw8
0-42-39-36-38-44-61-68-55-6-0,789.4046491942245,seed601_lns_start0_random_random_best_rm8_tw12
0-42-39-36-40-44-61-54-68-55-60-0,799.8009511956194,seed605_lns_start0_late_regret_rm6_tw12_guarded
0-63-62-67-41-40-37-35-43-70-0,799.8962693943453,seed601_lns_start0_late_regret_rm8_tw12
0-45-5-2-7-6-8-46-3-1-60-53-0,824.4908457423476,seed601_lns_start0_random_best_rm5_tw12
0-45-5-2-7-6-8-46-4-55-60-53-0,845.6486884923405,seed603_lns_start0_late_regret_rm8_tw15
0-42-39-36-38-44-61-68-55-6-70-0,870.3042111649683,seed601_lns_start0_random_regret_rm4_tw10
0-45-5-2-7-8-46-3-1-4-55-53-0,874.9898093023234,seed604_lns_start0_late_random_best_rm5_tw6
0-42-39-36-38-44-61-54-68-55-1-0,883.4657064635799,seed605_lns_start0_late_regret_rm6_tw12
0-42-39-36-38-44-61-68-3-1-70-0,919.8786355031339,seed603_lns_start0_late_regret_rm8_tw15
0-65-69-52-57-22-64-56-66-60-0,924.6640847702029,seed603_lns_start0_late_regret_rm8_tw15_guarded
0-45-5-2-7-8-46-3-4-60-53-55-0,930.8726529922134,seed604_lns_start0_late_regret_rm8_tw10
0-63-62-67-41-38-37-35-43-54-0,931.0469145987519,seed601_lns_start0_random_random_best_rm5_tw12_guarded
0-63-62-67-41-38-37-35-43-1-0,950.0980237507515,seed601_lns_start0_mixed_random_best_rm8_tw15_guarded
0-14-47-12-11-15-16-9-53-60-55-68-0,956.5278320891518,seed608_lns_start33_random_best_rm8_tw6
0-65-69-52-57-22-64-56-66-54-0,957.2550159536208,seed601_lns_start0_random_best_rm8_tw10
0-42-39-36-38-40-44-61-68-6-0,966.1125470291418,seed605_lns_start0_random_regret_rm8_tw10
0-42-39-36-38-44-61-54-68-70-6-0,980.7270827815363,seed601_lns_start0_late_regret_rm6_tw8
0-45-5-2-7-8-6-46-3-4-55-53-0,982.88368299995,seed603_lns_start0_late_regret_rm6_tw12
0-33-28-30-31-29-27-26-32-34-50-0,989.8430917182,seed601_lns_start0_random_regret_rm4_tw10
0-63-62-67-41-37-35-43-54-68-0,993.1792743768267,seed602_lns_start0_random_best_rm4_tw15
0-63-62-67-61-43-40-37-35-0,994.9778207905813,seed605_lns_start0_random_random_best_rm6_tw12
0-42-39-36-38-44-61-68-60-6-70-0,1014.4441269352059,seed604_lns_start0_late_random_best_rm5_tw6
0-65-69-52-57-22-64-56-66-17-0,1023.470160106962,seed608_lns_start33_random_best_rm8_tw6
0-63-62-67-41-40-37-35-43-68-0,1031.0452243614225,seed605_lns_start0_late_regret_rm8_tw15
0-63-62-67-41-40-37-35-43-54-0,1039.989664419157,seed603_lns_start0_mixed_regret_rm5_tw12
0-42-39-36-38-44-61-68-6-1-70-0,1044.1668543955807,seed604_lns_start0_late_best_rm6_tw8
0-42-39-36-38-44-61-68-55-6-1-0,1057.9877886587956,seed604_lns_start0_late_best_rm6_tw12
0-63-62-67-41-40-37-35-43-1-0,1059.0407735711565,seed601_lns_start0_mixed_random_best_rm8_tw15
0-63-62-67-41-38-37-35-40-43-0,1070.0980237507515,seed604_lns_start0_random_random_best_rm5_tw12
0-42-39-36-38-40-44-61-55-6-70-0,1072.3285478391433,seed602_lns_start0_random_best_rm4_tw15
0-39-42-44-36-38-61-68-55-60-6-0,1084.9993641613173,seed608_lns_start0_random_regret_rm8_tw8
0-63-62-67-41-40-37-35-43-55-0,1102.5914170808596,seed604_lns_start0_mixed_regret_rm6_tw12
0-63-62-67-41-40-37-35-43-60-0,1108.0770716994907,seed604_lns_start0_late_random_best_rm8_tw10
0-63-62-67-51-50-54-61-70-0,1109.2424263987193,seed608_lns_start33_random_best_rm8_tw6
0-63-62-67-41-40-37-35-43-4-0,1118.5047942117685,seed601_lns_start0_random_best_rm5_tw12
0-42-39-36-38-44-61-54-68-55-6-0,1134.688418555296,seed601_lns_start0_late_regret_rm8_tw12
0-42-39-36-38-44-61-54-55-70-6-0,1134.7270827815362,seed601_lns_start0_late_random_best_rm6_tw8
0-65-69-52-57-22-64-66-56-51-0,1249.7998378872117,seed601_lns_start0_late_random_best_rm3_tw8
0-65-69-52-57-22-51-64-66-60-0,1325.96964597872,seed604_lns_start0_late_random_best_rm8_tw6
0-65-69-52-57-22-51-64-66-54-0,1358.5605771621383,seed602_lns_start0_late_regret_rm8_tw10
0-33-28-30-31-29-27-26-32-34-10-0,1403.2900474687908,seed608_lns_start33_random_best_rm8_tw6
