route,score,source
0-92-95-64-83-65-52-75-23-21-18-19-22-51-76-63-85-84-62-50-34-31-29-27-26-28-30-32-33-67-94-71-72-37-35-43-54-96-93-91-56-66-80-68-55-100-70-4-1-0,1451.5575473127806,seed606_lns_start37_random_regret_rm6_tw10_guarded
0-92-95-64-83-65-52-75-23-21-18-19-22-51-76-63-85-84-62-50-34-31-29-27-26-28-30-32-33-67-71-94-96-54-72-41-37-35-43-70-100-55-68-66-56-91-80-93-89-0,1955.0587790523352,seed601_lns_start37_random_regret_rm3_tw12_guarded
0-65-64-83-52-75-23-21-51-22-19-18-76-63-85-95-92-94-81-71-67-62-34-31-29-27-26-28-30-32-33-50-84-56-66-91-96-54-37-35-43-70-100-55-68-80-93-89-0,2057.190663060134,seed602_lns_start38_mixed_random_best_rm5_tw10_guarded
0-69-82-65-52-83-64-92-95-51-19-18-21-23-22-76-63-85-62-67-94-81-72-71-34-31-29-27-26-28-30-32-33-50-84-56-66-91-80-96-54-37-35-43-68-55-100-70-93-89-0,2059.7218335162297,seed601_lns_start40_random_best_rm4_tw8_guarded
0-69-65-52-83-64-92-95-62-63-76-18-21-23-19-22-51-84-85-33-28-26-27-29-31-30-32-34-50-67-71-94-96-81-54-72-41-37-35-43-70-100-55-68-66-56-91-93-80-89-0,2060.010377318979,seed606_lns_start38_random_best_rm5_tw15_guarded
0-95-62-31-29-27-28-30-33-63-76-51-64-92-94-67-71-72-41-39-38-36-35-37-40-43-44-42-81-61-1-3-4-46-8-79-78-14-10-9-97-58-74-13-17-60-55-100-70-68-0,2112.6013610041705,seed604_lns_start15_late_random_best_rm8_tw6_guarded
0-69-98-82-92-67-71-72-39-38-36-40-44-42-61-81-90-99-53-88-2-3-5-45-46-8-6-7-79-73-78-14-10-9-87-74-57-24-20-49-48-25-77-58-97-13-17-60-4-1-0,2169.644442195182,seed601_lns_start45_mixed_best_rm8_tw10_guarded
0-69-82-12-11-15-16-47-73-7-5-45-2-6-88-98-90-65-83-99-52-86-87-59-97-75-77-25-23-21-48-18-19-49-20-22-24-57-66-56-84-50-34-26-32-96-54-93-80-91-89-0,2183.6263693592227,seed602_lns_start3_late_regret_rm6_tw12_guarded
0-65-64-83-52-59-75-23-21-19-18-22-51-76-63-85-84-95-62-50-33-32-30-28-26-27-29-31-34-67-92-94-71-96-54-72-37-35-43-70-100-55-68-66-56-91-80-93-89-0,2200.9797938639467,seed604_lns_start40_mixed_regret_rm8_tw12_guarded
0-69-98-12-11-15-16-47-73-7-5-45-2-6-88-53-82-90-65-99-52-86-87-59-75-77-25-23-21-48-18-19-49-20-22-24-57-83-66-56-84-50-34-26-32-96-54-93-80-91-89-0,2275.423441570479,seed602_lns_start4_late_regret_rm6_tw12_guarded
