instance,family,keep,K,customers,num_seeds,pool_size_before_cap,master_pool_cap,pool_size,best_single_lns_score,ortools_seconds,ortools_solved,ortools_score,exact_seconds,exact_feasible,exact_score,neal_seconds,neal_valid_samples,neal_num_reads,neal_best_score,swap_seconds,swap_valid,swap_restarts,swap_best_score,total_seconds
c101,C,70,7,70,8,7,600,7,608.7737696654073,30.02249996177852,True,813.1133220067422,0.00020524021238088608,True,608.7737696654074,0.12371510732918978,1000,1000,608.7737696654073,0.4232152746990323,200,200,608.7737696654073,1971.0115433428437
c101,C,100,10,100,8,10,600,10,828.9368669428338,30.022083269432187,True,828.936866942834,0.00020431727170944214,True,828.9368669428338,0.16779014840722084,1000,1000,828.9368669428338,0.4594180164858699,200,200,828.9368669428338,3014.068951948546
c102,C,70,7,70,8,7,600,7,607.6977792486019,30.022560141980648,True,607.697779248602,0.00017057918012142181,True,607.6977792486019,0.12256012856960297,1000,1000,607.6977792486019,0.4137458195909858,200,200,607.6977792486019,1911.804810515605
c102,C,100,10,100,8,10,600,10,828.9368669428338,30.022486503235996,True,828.9368669428338,0.0002080630511045456,True,828.9368669428338,0.1820644484832883,1000,1000,828.9368669428338,0.4564468087628484,200,200,828.9368669428338,2838.795497299172
c103,C,70,7,70,8,13,600,13,607.6977792486019,30.02194633614272,True,607.6977792486019,0.00022357888519763947,True,607.6977792486019,0.20191773399710655,297,1000,607.6977792486019,3.869389571249485,200,200,607.6977792486019,1916.4608528530225
c103,C,100,10,100,8,16,600,16,834.4723944463623,30.022979549132288,True,858.1250658591778,0.0003370773047208786,True,828.0648821980838,0.232803450897336,248,1000,828.0648821980839,4.353697427548468,200,200,828.0648821980839,2869.112700097263
c104,C,70,7,70,8,11,600,11,608.8799677951026,30.029603019356728,True,604.4096052718108,0.0001815957948565483,True,604.4096052718108,0.1540063787251711,436,1000,604.4096052718108,3.1236073719337583,200,200,604.4096052718108,1816.3303533438593
c104,C,100,10,100,8,55,600,55,852.4605381326289,30.023791290819645,True,867.5197678092924,0.0041146064177155495,True,824.7767082212929,1.1131004206836224,9,1000,825.5377296028787,9.022484747692943,199,200,825.6486929660429,2738.484841566533
c105,C,70,7,70,8,7,600,7,608.7737696654074,30.02335149422288,True,608.7737696654074,0.0001443801447749138,True,608.7737696654074,0.1182548413053155,1000,1000,608.7737696654073,0.410427019931376,200,200,608.7737696654073,1926.1033459855244
c105,C,100,10,100,8,10,600,10,828.9368669428338,30.032745632342994,True,828.936866942834,0.00020349491387605667,True,828.9368669428338,0.16652153059840202,1000,1000,828.9368669428338,0.4675152013078332,200,200,828.9368669428338,2932.2692675758153
c106,C,70,7,70,8,7,600,7,608.7737696654074,30.025470447726548,True,608.7737696654074,0.00014525000005960464,True,608.7737696654074,0.11773804016411304,1000,1000,608.7737696654073,0.411695365794003,200,200,608.7737696654073,2005.5113803027198
c106,C,100,10,100,8,19,600,19,828.9368669428338,30.023231075145304,True,828.9368669428338,0.00029911845922470093,True,828.9368669428338,0.2970088245347142,334,1000,828.9368669428338,5.361129439435899,200,200,828.9368669428338,2909.3812508536503
c107,C,70,7,70,8,7,600,7,608.7737696654073,30.020906352438033,True,608.7737696654073,0.00013235025107860565,True,608.7737696654074,0.1318788891658187,1000,1000,608.7737696654073,0.4022646229714155,200,200,608.7737696654073,1935.3618377288803
c107,C,100,10,100,8,10,600,10,828.9368669428338,30.021577635779977,True,828.9368669428338,0.00021158810704946518,True,828.9368669428338,0.17077517975121737,1000,1000,828.9368669428338,0.45474209263920784,200,200,828.9368669428338,2961.37873198092
c108,C,70,7,70,8,7,600,7,608.7737696654074,30.03827691078186,True,608.7737696654073,0.00012757442891597748,True,608.7737696654074,0.11650415509939194,1000,1000,608.7737696654073,0.4126584678888321,200,200,608.7737696654073,1865.5411168467253
